Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
192.168.68.78,49907,43.245.106.137,443,17,ICQ,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
43.245.106.137,443,192.168.68.78,49907,17,Skype,Streaming
